gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000117479.15,SLC19A2,476,469,357.439,333,355,351.31633276964516,0.35941672940311475,0.11382413754794563,2.700754508026896e-4,9.890925010159666e-4,Up
ENSG00000171863.15,RPS7,24230.62,22887.195,20592.437,20582.484,18155.689,21483.20505816049,0.21352891399763382,0.0619073457204782,2.7314646469633235e-4,9.996819511413253e-4,NS
ENSG00000177733.7,HNRNPA0,9279,8637,9729.349,9900,9770,8484.628126176163,-0.14576227173449716,0.04101202608358795,2.7312231978785374e-4,9.996819511413253e-4,NS
ENSG00000140718.22,FTO,784.001,749,595.999,592,628,717.9233381839543,0.2855571375120523,0.08631632688956259,0.00027366544494408156,0.0010012523194291184,Up
ENSG00000128294.16,TPST2,253.001,282,207.999,132,168,211.2219044443458,0.5070113431630673,0.17906436745465673,2.7490505623702544e-4,0.0010054573436163391,Up
ENSG00000234444.10,ZNF736,674,655,792.999,801,851.228,908.463422374628,-0.28197290670474406,0.0850803843646583,2.750308130052893e-4,0.0010055870533289253,Down
ENSG00000100075.10,SLC25A1,1275,1265,1471.999,1605.001,1488.001,1685.1468781405874,-0.25563061536845383,0.07606401940731476,2.815848377843188e-4,0.0010288747829409312,NS
ENSG00000185158.13,LRRC37B,171.944,173.519,245.825,209.043,273.725,330.3441998815452,-0.4215350663898807,0.13998819376188687,2.815515207006695e-4,0.0010288747829409312,Down
ENSG00000167543.16,TP53I13,458,451,581.999,573,551.999,646.6918012701482,-0.30498488839034643,0.09356456615929529,2.8206166690911307e-4,0.0010302790371816309,Down
ENSG00000143198.13,MGST3,112.999,95,58,51.999,64.001,93.43484727552112,0.616370793041203,0.2376325891285664,2.8216103774639467e-4,0.001030304090944786,Up
ENSG00000135365.17,PHF21A,643.001,567,723,711.003,774.998,1049.4686518329925,-0.27442398470022517,0.0826085013688112,2.8257943274367177e-4,0.0010314936553478442,Down
ENSG00000166822.13,TMEM170A,758.994,687.758,552.999,573.063,593.576,690.8801757988697,0.28091113923424793,0.08491959959300474,2.8338164763020427e-4,0.001034083030687282,Up
ENSG00000092439.16,TRPM7,1655.001,1550,1248,1289,1377,1379.8964563563225,0.25096156018196636,0.07454468539423373,2.8503790363804474e-4,0.0010397861555246984,NS
