gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000134077.16,THUMPD3,1816,1409,1454.999,1564,1576.999,1561,1561.317890157671,-0.20505395587681405,0.05625715479372459,2.214024092320778e-4,4.567911507257596e-4,NS
ENSG00000137944.18,KYAT3,1016.245,830.79,850.75,699.483,593.063,602.412,702.4705529623336,0.2965353865457549,0.08265068493496681,2.237216641209778e-4,4.6149067851737906e-4,Up
ENSG00000112983.18,BRD8,1790,1492,1502.001,1182,1088,1249,1325.9669983628578,0.23710170864577673,0.06546188050932357,2.2662053609886031e-4,4.673838723209272e-4,NS
ENSG00000135205.15,CCDC146,108,99,93,46,46,53,68.17697447654814,0.7082707336085778,0.22397398143542335,2.2792433855900316e-4,4.6998580976330645e-4,Up
ENSG00000110536.14,PTPMT1,838.76,779.124,754.724,869.699,850.904,812.634,821.1201929817662,-0.27966915181877294,0.07781116933514559,2.2802728914340847e-4,4.7011105501483524e-4,Down
ENSG00000101247.18,NDUFAF5,312,238.999,254.002,299,345.999,295,313.9630433139712,-0.39799077260724686,0.11355093245319628,2.2875675556130316e-4,4.715276673489234e-4,Down
ENSG00000203667.10,COX20,1085,843,870.964,681.764,662.001,671.001,772.5990081685532,0.2622597834288159,0.07277064366882317,2.2930147214117807e-4,4.725630080007958e-4,NS
ENSG00000149480.7,MTA2,4193.999,3416,3584.999,3614,3547.002,3723,3808.370209865544,-0.15697653568903502,0.042940878578237904,2.3001541290040056e-4,4.7394665189116767e-4,NS
ENSG00000127586.17,CHTF18,2028.001,1771.001,1828,1831,1797.999,2264.132,1851.0643684955637,-0.2527543576014473,0.0700553704460734,2.3092656032641258e-4,4.757360529698958e-4,NS
ENSG00000125744.12,RTN2,78,93,74,30,36,41.004,51.91712906210531,0.8048187395346732,0.2687896768112508,2.3108930080068777e-4,4.75983270393427e-4,Up
ENSG00000070010.19,UFD1,2674.998,2216.14,2321,2513,2369,2345.265,2267.307435246202,-0.19844561429354005,0.05456556390269956,2.3130878572973215e-4,4.7634725345266767e-4,NS
ENSG00000152766.6,ANKRD22,42,25,40,65,67,54,54.575965311616116,-0.8008233557647157,0.26696640216985573,2.3226856518138714e-4,4.782353504206154e-4,Down
ENSG00000130150.12,MOSPD2,544,459,437,286,337,343,398.77832642609644,0.35535120243276946,0.10055398492070278,2.3303544637655243e-4,4.7972564996223e-4,Up
ENSG00000197302.11,KRBOX5,633.147,521,467.001,355.998,362,378,429.076968793966,0.3431445101964801,0.09686083172099444,2.3359090995215775e-4,4.807802558006248e-4,Up
ENSG00000132256.20,TRIM5,736.958,579.757,587.993,427,457.996,433.999,500.5860538807366,0.3129198541251063,0.08778237474768391,2.338201047727687e-4,4.8116306482895877e-4,Up
ENSG00000108469.15,RECQL5,848.001,731,725.002,523,485,602,614.987065478878,0.3058838134729862,0.08570330666394321,2.343804439886279e-4,4.8222704686889874e-4,Up
ENSG00000116670.16,MAD2L2,1994,1751.999,1837.001,1372,1448,1308.999,1551.8912362894325,0.23218146068440423,0.06423855113264425,2.3587944567169002e-4,4.85221534252976e-4,NS
ENSG00000164877.19,MICALL2,62.999,48,52,16,19,24,30.035893804111332,0.9557037378678837,0.35077985176538024,2.3749244587494583e-4,4.884493757542515e-4,Up
ENSG00000131725.14,WDR44,897,693,794,527,606,528,647.2857515431211,0.30603508261801504,0.08583939518530913,2.3778525238536626e-4,4.889612916942068e-4,Up
ENSG00000165501.17,LRR1,959.8,856.301,793.097,923.163,952.279,891.757,909.4309208791865,-0.27300919001011437,0.07614099901911923,2.3964407735304146e-4,4.926926508179478e-4,Down
ENSG00000189319.14,FAM53B,2217.105,1758.532,1833.506,1902.789,1902.094,1957.4,1909.3877858666929,-0.18585287775327047,0.051159544772330826,2.4023393440869022e-4,4.93814198506752e-4,NS
ENSG00000160233.8,LRRC3,109,89,88,50,43,44,64.9406803391362,0.7118736852851942,0.22669990396370515,2.4051448075059718e-4,4.942996442368335e-4,Up
ENSG00000127616.22,SMARCA4,7308.998,5491,6099,5916.002,5959.002,6673.999,6296.094403364808,-0.1724521983068376,0.04740475031158671,2.4081400746553844e-4,4.948239116501294e-4,NS
ENSG00000163781.14,TOPBP1,3609.001,2603.001,2970,2997,2948,3171,3056.4337992751443,-0.19014722686049174,0.05239870111485476,2.421329524551299e-4,4.974422968996092e-4,NS
ENSG00000145349.20,CAMK2D,1173.999,959,944.001,1009.999,1045.999,1160,907.7847978223017,-0.25537607615235813,0.07110614743256369,2.4447034435089485e-4,5.021516460781845e-4,NS
ENSG00000113575.12,PPP2CA,5551.433,4748.731,4500.172,4943.395,4917.023,4719.486,4931.30232533536,-0.17529427960751653,0.048277565894881073,2.462201629775997e-4,5.056525825339346e-4,NS
ENSG00000006652.15,IFRD1,1192.776,910.263,965.464,1028.721,1019.755,1094.689,1176.8765697378587,-0.23125544308619103,0.06417647799586694,2.465000541045649e-4,5.061340528323265e-4,NS
ENSG00000131848.10,ZSCAN5A,81,63,45.999,82.999,97.946,104.001,89.1681373902258,-0.6670784092216969,0.20847167264289412,2.4711182209314914e-4,5.072031630393296e-4,Down
ENSG00000276023.5,DUSP14,383,308,319,369,411,362,399.7575776848027,-0.3569705947490076,0.10149490709704564,2.470897093341003e-4,5.072031630393296e-4,Down
ENSG00000107959.17,PITRM1,888,712,738.001,809,805.998,825,816.7597640125106,-0.2540678942268178,0.07078347203321322,2.4720766290091194e-4,5.07306383218621e-4,NS
ENSG00000118263.16,KLF7,438,332.001,323,222,234.999,247.999,278.8745469309978,0.3989548759160201,0.1145525520435491,2.478210229538986e-4,5.084713951064055e-4,Up
ENSG00000216937.14,CCDC7,89.999,76.999,78.001,31,22,48,50.437420548098594,0.8471564679063929,0.2927533706117263,2.492429958356078e-4,5.112947586334803e-4,Up
ENSG00000169100.14,SLC25A6,6025.246,5062.666,5409.089,4257.173,4346.542,3925.679,4358.3414123983575,0.19433614001489027,0.053693937331655256,2.493459532423833e-4,5.114117645046819e-4,NS
ENSG00000006740.18,ARHGAP44,117,96.001,109.001,53.001,56,47,64.67724489625625,0.7025187550750415,0.22348719694356592,2.496892286625055e-4,5.120215318752207e-4,Up
