gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
CDC42BPG	CDC42BPG	9.160665	9.699976	9.340797	9.864387	8.474194	8.819695	9.270398	9.146866
CDC42EP1	CDC42EP1	20.219352	23.607519	22.79373	22.010753	19.045117	21.89676	18.817716	18.530422
CDC42EP3	CDC42EP3	44.190638	45.555306	42.98513	40.888622	43.969095	44.577984	42.508395	46.411882
CDC42EP4	CDC42EP4	26.41913	27.088203	25.030058	24.356042	24.099211	24.92375	23.716392	24.574001
CDC42EP5	CDC42EP5	2.444736	3.342612	2.972155	3.459792	2.716191	2.725941	3.042594	2.366466
CDC42SE1	CDC42SE1	125.946562	132.215588	126.912036	129.021089	123.721266	127.041735	122.508124	125.911636
CDC42SE2	CDC42SE2	7.066249	6.890684	6.671576	5.946249	6.523384	6.942016	7.107519	6.437578
CDC45	CDC45	4.647732	4.343473	4.223937	3.836439	3.406423	3.737227	3.859796	4.490424
CDC5L	CDC5L	37.894416	40.840258	36.011347	34.259698	37.09354	36.252072	36.817386	36.462732
CDC7	CDC7	78.465674	90.696842	95.214929	90.550841	85.675187	90.109797	90.454866	85.815442
CDC73	CDC73	21.405333	21.253061	20.782557	18.414121	21.133323	21.47165	19.476646	22.20897
CDCA2	CDCA2	66.601604	69.223667	67.446705	62.080219	66.371581	71.137104	64.188009	73.791803
CDCA3	CDCA3	113.461392	115.106441	119.483993	111.670901	112.591875	119.728489	115.982542	117.280667
CDCA4	CDCA4	209.533453	219.736689	217.162162	217.556008	212.75741	223.794929	217.570669	219.40217
CDCA5	CDCA5	75.051962	81.49174	82.539941	82.03033	71.238917	83.939597	64.354084	78.275315
CDCA7	CDCA7	82.317247	85.39738	81.112545	78.914814	79.867468	81.133879	75.572682	79.632142
CDCA7L	CDCA7L	76.799326	92.468273	95.623125	89.101505	81.798121	88.814092	82.706077	82.790925
CDCA8	CDCA8	24.751395	26.139082	25.090921	23.641497	25.731113	25.56651	23.172669	26.456406
CDCP1	CDCP1	25.874094	26.640309	25.062289	24.991419	25.061695	28.778418	26.718411	30.092459
CDCP2	CDCP2	0.02132	0.038804	0	0.011182	0	0.023998	0	0
CDH1	CDH1	10.107094	9.831712	9.575874	9.50781	10.242348	9.58803	9.692953	9.043756
CDH11	CDH11	0	0.006699	0.006502	0.015481	0	0	0.008772	0.02454
