gene_id,gene_name,cDC1_Tumor_1,cDC1_Tumor_2,cDC1_Tumor_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000028706.15,Nsun4,897,911,920,372.999,394,354,980.6527729553738,0.9595829996449462,0.07776757821311488,1.470949122039803e-35,4.326564745999758e-35,Up
ENSMUSG00000022673.6,Mcm4,2149,2328,2715,2817,3223,3127,2835.3924283847673,-0.6685746338558253,0.05398473866255335,1.5674212397985245e-35,4.6091416380554305e-35,Down
ENSMUSG00000030469.11,Zfp719,202,269.904,235,22,40,35,139.74111551998345,2.5044275927274287,0.20721378951022873,1.6761961403826036e-35,4.927742007171899e-35,Up
ENSMUSG00000075033.5,Nxpe3,483,503,619,178,192,168,304.7117936392849,1.2413331184588388,0.10109709967667603,1.7667640907668642e-35,5.192667533728155e-35,Up
ENSMUSG00000040586.9,Ofd1,621,646,652,925,941,897,901.9483173279315,-0.8370460018251581,0.06779731317606331,1.7874160187960785e-35,5.252021019405161e-35,Down
ENSMUSG00000053293.10,Pom121,3135,3288,3694,3538,4068,3658,3681.5734622960085,-0.4720348857921395,0.038080726300817734,1.8810605579689364e-35,5.525765768011588e-35,Down
ENSMUSG00000027433.6,Xrn2,4827.999,5303.001,5679,5948,6361,5911.999,5680.836743534336,-0.5221435803815871,0.04215727999908003,1.9766764912208584e-35,5.805160140329697e-35,Down
ENSMUSG00000035314.11,Gdpd5,1117,1081,1420,1641,1907.001,1710,1143.360070506503,-0.8544408006165296,0.06928528934538856,2.0471802079818268e-35,6.010680216889624e-35,Down
ENSMUSG00000031166.14,Wdr13,2029.999,2270.999,2657,3013.002,3305.001,2681,2537.4028656109253,-0.688237212553102,0.05568555127264147,2.0672986273097014e-35,6.068197887882747e-35,Down
ENSMUSG00000041058.16,Wwp1,1289.995,1410.992,1654.993,648,697,667,1035.3404134145708,0.7862297758315548,0.06370504394361405,2.1146177867888766e-35,6.205508828442799e-35,Up
ENSMUSG00000121798.1,2810025M15Rik,535,605,676.999,157,229.001,190,427.1235112643258,1.323196848995879,0.10797464738343895,2.1389663999529813e-35,6.275357989437937e-35,Up
ENSMUSG00000032519.12,Slc25a38,1775.001,1796,2027,2305,2423.999,2091,2012.4317638321259,-0.6000890398060337,0.04851536158978162,2.1427613388363508e-35,6.284885939682711e-35,Down
ENSMUSG00000020864.14,Ankrd40,4193.999,4592,5165,2436.001,2690,2528,3511.8637154359017,0.5427506590279365,0.043887547661657964,2.417898625326408e-35,7.090074033356267e-35,Up
ENSMUSG00000024613.17,Tcof1,1609,1684,2003,2205,2379,2350.999,1851.0070373698861,-0.70731868951358845,0.05730502019870066,2.441317728465009e-35,7.156918936932269e-35,Down
ENSMUSG00000031681.17,Smad1,1101,1128,1160,1555,1726,1542,1337.6193119013224,-0.818171927464505,0.0664213047552442,2.651271659259539e-35,7.770431971229526e-35,Down
ENSMUSG00000028420.14,Tmem38b,384,478,490,152,137,146,296.30810895356757,1.2985352511409278,0.10611975941690575,2.7532930486465166e-35,8.067380474000498e-35,Up
ENSMUSG00000041995.9,Zbed3,505,573,610,761,958,802,640.0527210554218,-0.8890013892938716,0.07232251666503403,3.1051261483241553e-35,9.095960092144457e-35,Down
ENSMUSG00000021806.5,Nid2,18,15,16,134,118,113,59.91943582803717,-3.168701137660483,0.26419229784278975,3.105979871887046e-35,9.096140491935464e-35,Down
ENSMUSG00000055319.9,Sec23ip,2809,2934,3279,1533,1718,1634,2353.0697910807144,0.5633073170369797,0.045647177996998606,3.2483489598956993e-35,9.510655560041387e-35,Up
ENSMUSG00000003865.17,Gys1,2096,2418,2757,1139,1260,1215,1828.6996217343356,0.6811610787757895,0.0553171131500648,3.69006754445486e-35,1.0801184199076003e-34,Up
ENSMUSG00000044700.16,Tmem201,751.001,887,1017.999,301,317,282,589.5349378115843,1.2237989590642433,0.10016053249968078,3.812659962776765e-35,1.115718000829908e-34,Up
ENSMUSG00000022159.17,Rab2b,588,624,684,230,247,181,463.20787103166117,1.1965741130200884,0.09792564907966309,3.942373810355309e-35,1.1533828908104462e-34,Up
ENSMUSG00000031245.9,Hmgn5,433.35,514.501,625.145,839.062,851.845,907.408,579.950324423204,-1.0416931150624118,0.08507756658002466,3.9470843953286067e-35,1.1544668902587467e-34,Down
ENSMUSG00000042446.17,Zmym4,1754,1841.001,1938,946.001,934,860.999,1656.5420905810859,0.6913074379837625,0.05617884455523965,4.011322039099619e-35,1.1729567347843374e-34,Up
ENSMUSG00000019998.7,Stx7,13558,15477,17791,8740,9397.999,8580,11364.145504662753,0.48416196163833025,0.039270707466038696,4.242340788751104e-35,1.2398778131134875e-34,Up
ENSMUSG00000045983.17,Eif4g1,20193,22686,24771.002,12953.001,13638.999,13062,18790.09076752848,0.4474599386304198,0.03628109503076483,4.242195857595992e-35,1.2398778131134875e-34,Up
ENSMUSG00000039789.8,Zfp597,583,593,612.999,799.999,951,819.001,840.5642896503192,-0.8317318963113957,0.06774749216860701,4.272059926141711e-35,1.2482459066637473e-34,Down
ENSMUSG00000039062.16,Anpep,7306,7415,8794,11613,12887,11652.001,8459.475491181096,-0.9324869864711245,0.07608497644412235,4.393030733110681e-35,1.2832656298221813e-34,Down
ENSMUSG00000005609.17,Ctr9,2593,2826,3180,1239.001,1345,1318.001,1989.8928907193933,0.8122442247964863,0.06616059398822875,4.4646938117477174e-35,1.3038677273728137e-34,Up
ENSMUSG00000016356.19,Col20a1,234,288,275,50,53,39,140.63584381483605,2.1336809030772343,0.17628198558954075,4.522223230482473e-35,1.320332808431992e-34,Up
ENSMUSG00000024241.8,Sos1,1484,1597,1761,764,824,740,1240.860095004667,0.7324136194771933,0.05960229223308159,4.578525739569027e-35,1.336431394699317e-34,Up
ENSMUSG00000067714.15,Lpar5,432,397,564,796,901,914,490.6313018918423,-1.2179380766645524,0.09986342864203689,5.06301774910422e-35,1.4774747855899305e-34,Down
ENSMUSG00000045038.15,Prkce,748,877,955,356,378,341,538.459289936272,0.9335810844652719,0.07627083697648697,5.305758320314411e-35,1.5479172457360362e-34,Up
ENSMUSG00000008475.14,Arpc5,16375.96,16921.993,20039.968,22316.982,23993.981,22342.987,22458.400642507895,-0.6817713938485183,0.055519971663331114,5.614147341658897e-35,1.6374715246194848e-34,Down
ENSMUSG00000059482.16,Cfap418,601,649.001,719,238,256,213,411.60229275885314,1.1465392142477835,0.09402018018779207,5.831110729408613e-35,1.700321089532735e-34,Up
