gene_id	gene_name	Control_1	Control_2	Control_3	4h_1	4h_2	4h_3	8h_1	8h_2	8h_3	16h_1	16h_2	16h_3
ENSG00000232264	USP17L24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232268	OR52I1	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000232382	OR5K1	15	18	14	0	0	1	0	0	0	0	0	0
ENSG00000232388	SMIM26	0	0	0	0	0	0	864	705	702	740	650	683
ENSG00000232399	USP17L13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232423	PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232434	AJM1	14	26	41	10	35	0	221	214	213	180	213	178
ENSG00000232535	OR5H8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232593	KANTR	1509	2098	1682	1179	905	917	190	155	147	143	152	94
ENSG00000232629	HLA-DQB2	0	0	0	0	8	0	0	0	0	0	0	0
ENSG00000232653	GOLGA8N	0	0	0	0	0	0	1612	1375	1490	1402	1334	1162
ENSG00000232810	TNF	527	712	715	558	302	330	384	382	341	740	777	721
ENSG00000232838	PET117	0	0	0	0	0	0	222	229	228	326	231	253
ENSG00000232859	LYRM9	0	0	0	0	0	0	40	44	49	14	12	9
ENSG00000232948	DEFB130A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233024	NPIPA9	54	16	2	42	7	1	592	569	603	808	838	904
ENSG00000233041	PHGR1	56	108	30	22	41	49	0	0	0	0	0	0
ENSG00000233050	DEFB130B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233056	ERVH48-1	8	67	43	54	37	30	1	0	0	0	0	0
ENSG00000233087	RAB6D	0	1	5	2	0	5	0	0	0	0	0	1
ENSG00000233115	FAM90A11P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233132	FAM90A3P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233136	USP17L11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233198	RNF224	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000233232	NPIPB7	0	0	0	0	0	0	19	22	15	30	36	19
ENSG00000233276	GPX1	0	0	0	0	0	0	13359	12599	11336	11687	11279	11347
ENSG00000233295	FAM90A20P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233381	AK4P3	1	1	0	0	0	23	11	7	12	0	5	1
ENSG00000233412	OR5H15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233436	BTBD18	0	0	0	0	0	0	1	4	0	1	1	0
ENSG00000233493	TMEM238	12	14	27	7	27	25	54	54	45	43	39	51
ENSG00000233608	TWIST2	0	0	13	10	5	3	0	0	0	0	0	0
ENSG00000233670	PIRT	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233701	PRR23C	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233757	ZNF892	304	277	207	161	86	186	74	62	54	53	54	45
ENSG00000233802	TRIM49D2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233803	TSPY4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233816	IFNA13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233822	H2BC15	1432	1554	1452	1195	1041	1197	37	31	33	25	22	21
ENSG00000233917	POTEB	0	0	0	0	0	0	0	0	0	0	0	0
