gene_id,gene_name,CHD3_1,CHD3_2,CHD3_3,CHD3_4,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000101290.14,CDS2,2627,2283,2481,2574.999,4792,4458,4627,4100,4098.132253311548,-0.670888208011768,0.0334647027068134,1.0995646551388307e-90,1.3461539808434432e-88,Down
ENSG00000108091.11,CCDC6,748,709,695,730,1674.001,1625,1637,1503,1300.2951633852101,-0.9737789526074662,0.04906741141940816,3.1248298637620086e-89,3.7926275561987344e-87,Down
ENSG00000155511.19,GRIA1,3927,3383,3687.363,3603.999,6554.999,6331.001,6233.999,5707.002,4980.128007235151,-0.5865439578571415,0.029624957978633168,1.1560183820992579e-88,1.3910754531261069e-86,Down
ENSG00000153395.10,LPCAT1,2040.001,1779.001,1956,2043.999,3778.999,3590,3509,3236.999,3075.906522547272,-0.6719653336080407,0.034020488852807035,4.0249169433874695e-88,4.802271664911202e-86,Down
ENSG00000165280.18,VCP,2801.999,2371.998,2779.001,2797.002,5199,4874.001,4951.002,4315.999,3223.022657516474,-0.6670938183711314,0.03385061811157248,9.648071451373251e-88,1.1414722517973445e-85,Down
ENSG00000123989.15,CHPF,1349,1226.999,1335,1258.999,2856.001,2683.001,2673,2317.001,2268.460471297834,-0.8411000303942407,0.04297157380896527,1.151289153610052e-86,1.3507499994729935e-84,Down
ENSG00000108219.16,TSPAN14,785.999,543.001,675,683,1920,1667.001,1739,1538,1367.6239182828633,-1.166054010855669,0.059880715963568684,1.956468773197105e-86,2.276456517177028e-84,Down
ENSG00000144730.19,IL17RD,3121.943,2749.946,3086,3104,2135,2013,2141.001,1704,2600.4782706302867,0.7653186681124357,0.03935723146339756,1.6970274985632076e-85,1.9583975534648686e-83,Up
ENSG00000167291.16,TBC1D16,1581.566,1143,1513.999,1483,3936,3380.999,3474,2922.999,2933.6039441438734,-1.074677268808581,0.05551852532682187,2.907798047439064e-85,3.3283649357637875e-83,Down
ENSG00000099814.17,CEP170B,1224,942,1045,1008,2508.001,2433,2383,2380,2120.820767903473,-1.019225366804436,0.052708194349593444,5.54372149443285e-85,6.2943592677516204e-83,Down
ENSG00000198598.7,MMP17,461.999,380,417.999,439.001,1106,1028.001,1046.999,964.943,840.716260823548,-1.0994728576419486,0.05700830242102603,1.0203579187736575e-84,1.149249531073146e-82,Down
ENSG00000071246.11,VASH1,1678,1343.872,1564,1578.351,3461,3058.999,3103.999,2841,2775.166076934056,-0.8340617560318084,0.04355495047802161,4.394684597025861e-83,4.910536860438659e-81,Down
ENSG00000162521.19,RBBP4,2086.994,1584,2006.147,2153.997,4359.986,4320.986,4163.985,3565.987,3165.112462271628,-0.8850927487813484,0.04631401399532634,7.747008521415378e-83,8.588199446693473e-81,Down
ENSG00000181852.18,RNF41,1138,1037.999,1071,1042.999,2393,2309.999,2260,2225,1874.1226775864563,-0.9146413415675609,0.0479167070997857,1.0604216627613991e-82,1.1663809835951357e-80,Down
ENSG00000196715.7,VKORC1L1,1120.267,1042.955,1075.03,1112.147,2319.821,2365.804,2269,2163.901,1954.770667701654,-0.8837349983349597,0.046336036302055704,1.6235451237998887e-82,1.7719295967425297e-80,Down
ENSG00000170145.5,SIK2,1554,1286,1466,1540,3038,2792,2912,2515,2309.1318373350114,-0.7636694213213288,0.04016888129669004,7.301052005298865e-82,7.90703932173867e-80,Down
ENSG00000074696.13,HACD3,2756.999,2419,2768,2647,4766,4751,4843,4446.999,3956.2008153236116,-0.6494672562479662,0.03424265572268295,1.5663840350757638e-81,1.68344433815509e-79,Down
ENSG00000075461.6,CACNG4,2141,1878,2083,2152,3908,3759,3769,3543,3208.334148236975,-0.68010521515381,0.036042015177554225,1.0618439169464176e-80,1.1325530686885313e-78,Down
ENSG00000101966.14,XIAP,1412.926,1132.001,1317,1230.999,2550,2503.993,2513.999,2196.997,1902.6193278625663,-0.7580467165374604,0.040232734308477694,1.8484168485185806e-80,1.9566812639318117e-78,Down
ENSG00000171617.16,ENC1,10276.001,8648,9982.001,10189,8052,7769.999,7886,7154.001,8363.108220396472,0.5119013452610245,0.027320155792569325,7.558992287845254e-80,7.9420188373562195e-78,Up
ENSG00000155097.12,ATP6V1C1,1224,1168,1251.001,1227.999,2486,2545,2486,2349.999,2120.9558543516823,-0.8349145275367319,0.0446379561580649,2.0558611157298345e-79,2.1440347146933587e-77,Down
