name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Bacteroides hominis	2763023	S	3115	0.00082	1452	0.00041	576	0.00024	3962	0.00109	1000	0.00033	3492	0.00072	1712	0.00050	3173	0.00067	1231	0.00070	1365	0.00049
Bacteroides zhangwenhongii	2650157	S	835	0.00022	0	0.00000	270	0.00011	165	0.00005	39	0.00001	92	0.00002	831	0.00024	1232	0.00026	240	0.00014	81	0.00003
Bacteroides stercoris	46506	S	455	0.00012	75	0.00002	124	0.00005	272	0.00007	158	0.00005	462	0.00010	381	0.00011	483	0.00010	361	0.00021	119	0.00004
Bacteroides celer	2025659	S	758	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides eggerthii	28111	S	401	0.00011	371	0.00011	83	0.00003	656	0.00018	165	0.00005	477	0.00010	387	0.00011	372	0.00008	165	0.00009	272	0.00010
Bacteroides uniformis	820	S	588	0.00015	144	0.00004	518	0.00021	358	0.00010	110	0.00004	479	0.00010	361	0.00011	356	0.00007	140	0.00008	114	0.00004
Bacteroides fragilis	817	S	519	0.00014	101	0.00003	76	0.00003	304	0.00008	163	0.00005	335	0.00007	174	0.00005	234	0.00005	258	0.00015	100	0.00004
Bacteroides salyersiae	291644	S	286	0.00007	46	0.00001	67	0.00003	307	0.00008	67	0.00002	306	0.00006	292	0.00008	228	0.00005	113	0.00006	109	0.00004
Prevotella heparinolytica	28113	S	274	0.00007	206	0.00006	69	0.00003	458	0.00013	90	0.00003	394	0.00008	266	0.00008	236	0.00005	155	0.00009	135	0.00005
Bacteroides intestinalis	329854	S	197	0.00005	17	0.00000	58	0.00002	86	0.00002	51	0.00002	74	0.00002	96	0.00003	54	0.00001	64	0.00004	46	0.00002
Bacteroides cellulosilyticus	246787	S	209	0.00005	0	0.00000	26	0.00001	46	0.00001	40	0.00001	48	0.00001	60	0.00002	62	0.00001	57	0.00003	20	0.00001
