gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000113013,HSPA9,15214,14368,14027,12911,11750,11095,13292.732529657105,0.4596759889343404,0.02487256745136159,4.3752315978995606e-77,6.56931080716442e-75,Up
ENSG00000171848,RRM2,2867,2624,2555,5331,4819,4549,3718.0709829331354,-0.6869088729278641,0.0373545918186546,7.139943052676813e-77,1.0600007590451544e-74,Down
ENSG00000053372,MRTO4,3112,3091,2893,2156,1970,1714,2517.797567066495,0.8079464653654782,0.04436411209387007,5.051360720487918e-76,7.41595879997854e-74,Up
ENSG00000135821,GLUL,15211,14907,14389,24520,22615,20632,18453.12678072792,-0.42707912704232076,0.02328481937652349,6.711230087599352e-76,9.744558587631895e-74,Down
ENSG00000104081,BMF,547,537,473,1574,1370,1324,941.5497136651558,-1.2644884789818485,0.06993688988932825,1.1038002510200962e-75,1.576362833431154e-73,Down
ENSG00000114867,EIF4G1,16852,16516,16131,14066,13427,11835,14893.309668483595,0.5056587499757756,0.027638466194242022,1.1121266726313743e-75,1.576362833431154e-73,Up
ENSG00000133706,LARS1,8361,7891,7471,6644,5940,5719,7049.580903018819,0.5455308751778871,0.029833170048675788,1.1214569465112273e-75,1.576362833431154e-73,Up
ENSG00000076248,UNG,1606,1447,1584,808,733,692,1169.0836021643972,1.2176176076687921,0.0676695784929162,3.6675076757752204e-75,5.1009240968439986e-73,Up
ENSG00000134291,TMEM106C,693,641,556,1964,1785,1469,1145.8660921575702,-1.2719575241583454,0.07104696615043889,2.8721522739153513e-74,3.953098749504535e-72,Down
ENSG00000135624,CCT7,12929,12615,12215,11274,10175,9382,11487.45950427868,0.4669068152331102,0.025815077175952172,5.893801837637549e-74,8.028330276361333e-72,Up
ENSG00000004478,FKBP4,4225,4091,3908,3073,2693,2669,3478.175083148874,0.7036754482059359,0.039148809691085036,1.1788049503247778e-73,1.5893418172082948e-71,Up
ENSG00000167721,TSR1,4190,3956,3794,2995,2826,2452,3400.1109971196124,0.6989063246408126,0.03894759879222881,2.0972937372357535e-73,2.79914567172687e-71,Up
ENSG00000103876,FAH,2661,2577,2508,1758,1656,1487,2134.5332310079702,0.8269347611013258,0.04629619665696757,2.2256521590950702e-73,2.940754197812316e-71,Up
ENSG00000105472,CLEC11A,15386,15636,15052,13240,11916,10686,13738.691111604321,0.537417464348092,0.029951990984269476,5.947032153068582e-73,7.780013449355958e-71,Up
ENSG00000166226,CCT2,12439,11558,11390,10449,9261,8508,10654.71478113864,0.500759130983758,0.027904794629715752,6.588087680533061e-73,8.5341571100866e-71,Up
ENSG00000170312,CDK1,2900,2495,2448,5357,5020,4605,3725.9661400487776,-0.7506458735705928,0.0421030854369082,1.0047783719730777e-72,1.288945303774784e-70,Down
ENSG00000010292,NCAPD2,4671,4627,4448,8624,7766,6967,6074.535214611188,-0.5814569244673317,0.032489092516540904,1.1051515837619553e-72,1.4040738342544917e-70,Down
ENSG00000048162,NOP16,2122,2094,1967,1346,1215,1140,1670.4821698946544,0.9050856634375911,0.051185922516127476,1.996216232790087e-72,2.5120004841767065e-70,Up
ENSG00000166851,PLK1,2018,1984,1861,4131,3683,3344,2777.087985936176,-0.7421650668566323,0.04171001427798078,2.0680468066878068e-72,2.577839854411886e-70,Down
ENSG00000114767,RRP9,1668,1704,1611,970,915,820,1303.4169513643387,1.0449846000027823,0.05935380149261218,2.2781959030690007e-72,2.813252567032776e-70,Up
ENSG00000111641,NOP2,3516,3592,3202,2457,2129,2116,2868.216701618298,0.7875338720191414,0.0445836497220268,1.2310462200728224e-71,1.5060938616502039e-69,Up
ENSG00000137642,SORL1,1806,1656,1557,3622,3219,3025,2426.793742004594,-0.7894861335239586,0.04473297182639264,1.5772360000309327e-71,1.9119283732485058e-69,Down
ENSG00000160818,GPATCH4,3311,3366,3002,2363,2096,1961,2711.6160153749734,0.7598022388659728,0.0433581374676347,2.0214170689329427e-70,2.428089430164634e-68,Up
ENSG00000189306,RRP7A,4256,4083,4036,3111,2943,2551,3530.4239976767726,0.6943319797134814,0.03954692626968299,2.1685764490390698e-70,2.581387443347138e-68,Up
ENSG00000117395,EBNA1BP2,3053,3093,2972,2174,1944,1850,2544.488122881812,0.77905821353234,0.04460973588764719,4.642952164224282e-70,5.4774399058835215e-68,Up
ENSG00000100911,PSME2,5539,5501,5283,4298,4047,3747,4775.774965787124,0.6033172069218236,0.0345190666712881,1.6708760507188462e-69,1.953742058243196e-67,Up
ENSG00000166803,PCLAF,2207,2372,2100,4760,4239,4220,3248.4899386275624,-0.7994616244695959,0.04606750349820015,2.466491150043718e-69,2.8587497864497932e-67,Down
ENSG00000161513,FDXR,2153,2171,1839,4301,3987,3638,2950.9449523356157,-0.767772505430136,0.0442969553349178,5.249101283212216e-69,6.030989152615914e-67,Down
ENSG00000159131,GART,5399,5105,4922,4189,3810,3595,4536.709821739832,0.582598054302529,0.033558706650051305,1.4460484657744505e-68,1.6471239981273978e-66,Up
ENSG00000126602,TRAP1,5651,5328,4986,4380,3951,3695,4697.033566552068,0.5793350884170695,0.03340926833684999,2.0822260387874103e-68,2.351491679529748e-66,Up
ENSG00000177706,FAM20C,1952,1851,1846,1124,1113,1005,1505.645571698032,0.9630728527866717,0.056361174701348764,3.3428895597368426e-68,3.7431864197290595e-66,Up
ENSG00000126787,DLGAP5,903,836,779,2118,1852,1761,1339.420494768267,-0.9964000242559321,0.05852401726405707,7.235987934029082e-68,8.034378871624056e-66,Down
ENSG00000074800,ENO1,59715,59146,56767,56005,50898,46370,54972.42963324368,0.3723239261731353,0.021525603733619485,1.1656897054092233e-67,1.283521506464339e-65,Up
ENSG00000128050,PAICS,8466,8177,7820,7133,6429,6084,7391.632316465101,0.4890059844768399,0.0283349502770485,1.2859829513463148e-67,1.4042721269536246e-65,Up
