gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000217874.2	OR4F7P	0	0	0	0	0	0	0	0	0
ENSG00000217878.2	ENSG00000217878	0	0	0	0	0	0	0	0	0
ENSG00000217889.3	KRT18P48	0	0	0	0	0	0	0	0	0
ENSG00000217896.2	ZNF839P1	0	0	0	0	0	0	0	0	0
ENSG00000217897.2	HSPE1P8	0	0	0	0	0	0	0	0	0
ENSG00000217929.5	SEPTIN14P6	2.439	0	4.351	2.212	2.825	1.114	1.174	0	8.981
ENSG00000217930.8	PAM16	607.185	696.509	574.008	424.334	402.267	397.823	482.725	457.527	431.825
ENSG00000217950.4	NOC2LP2	4.008	2.007	1.245	2.007	2.041	1.002	0	0	1.004
ENSG00000218014.1	KRT19P1	0	0	0	0	0	0	0	0	0
ENSG00000218016.2	ZKSCAN8P2	1	0	0	1	0	0	0	0	0
ENSG00000218018.4	RBM38-AS1	2	7	6	21	15	10	4	3	4
ENSG00000218020.3	THAP12P5	0	0	0	0	0	0	0	0	0
ENSG00000218027.2	ENSG00000218027	0	0	0	0	0	0	0	0	0
ENSG00000218029.3	ENSG00000218029	0	1	0	0	0	0	0	0	0
ENSG00000218048.2	ENSG00000218048	0	0	0	0	0	0	0	0	0
ENSG00000218049.1	RPL31P33	0	0	0	0	0	0	0	0	0
ENSG00000218052.8	ADAMTS7P4	0	1	0	0	0	0	0	0	3
ENSG00000218069.2	RSL24D1P1	0	0	0	0	0	2.014	1.003	0	0
ENSG00000218073.1	ENSG00000218073	1	2	0	1	0	0	3	4	1
ENSG00000218089.1	DNAJA1P4	0	0	0	0	0	0	0	0	0
ENSG00000218107.1	ENSG00000218107	0	0	0	0	0	0	0	0	0
ENSG00000218109.6	KIRREL3-AS3	0	0	0	0	0	0	0	0	0
ENSG00000218125.1	ENSG00000218125	0	0	0	0	0	0	0	0	0
ENSG00000218143.2	ERHP2	0	0	0	0	0	0	0	0	0
ENSG00000218153.2	KRT18P22	0	0	0	0	0	0	0	0	0
ENSG00000218173.1	ENSG00000218173	0	0	0	0	0	0	0	0	0
ENSG00000218175.2	ENSG00000218175	4.006	25.036	2.017	15.004	14.004	9.611	7.012	16.017	8.018
ENSG00000218180.2	SLC25A5P7	0	0	0	0	0	1	0	0	1
ENSG00000218186.2	KRT8P43	0	0	0	0	0	0	0	0	0
ENSG00000218187.2	ENSG00000218187	0	0	0	0	0	0	0	0	0
ENSG00000218189.4	POM121L14P	0	0	0	0	0	0	0	0	0
ENSG00000218194.1	HLFP1	0	0	0	0	0	0	0	0	0
ENSG00000218198.3	RPS20P32	0	0	0	0	0	0	0	0	0
ENSG00000218208.1	RPS27AP11	3.008	2.004	3.008	4.023	1.001	2.016	2.004	2.065	0
ENSG00000218213.1	FTH1P26	0	0	0	0	0	0	0	0	0
ENSG00000218226.1	TATDN2P2	3	4	1	1	1	0	1	0	3
ENSG00000218227.3	ENSG00000218227	12.933	25.116	14.708	22.234	26.52	19.771	8.66	21.975	16.058
ENSG00000218233.1	NEPNP	0	0	0	0	0	0	0	0	0
ENSG00000218261.1	RPA3P2	1	1	1	0	0	0	0	0	0
ENSG00000218265.1	RPS4XP7	1	1	0	1	0	0	0	0	0
ENSG00000218274.2	ENSG00000218274	0	0	0	0	0	0	1	0	0
ENSG00000218281.1	H2AC9P	0	0	0	0	0	0	0	0	0
ENSG00000218283.2	MORF4L1P1	131.909	156.671	151.292	140.105	127.852	121.566	132.389	139.354	126.979
ENSG00000218300.1	RPL22P14	0	0	0	0	0	0	0	0	0
ENSG00000218305.5	CDC14C	0	0	0	0	0	0	0	0	0
ENSG00000218313.1	ENSG00000218313	0	0	0	0	0	0	0	0	0
ENSG00000218336.9	TENM3	0	0	0	0	0	0	0	0	0
ENSG00000218337.1	ENSG00000218337	0	0	0	0	0	0	0	0	0
ENSG00000218347.2	HNRNPA1P1	0	3	0	0	0	0	1	0	0
ENSG00000218350.1	LYPLA1P3	1.008	2.027	1.007	0	1.007	0	1.965	3.037	1.006
ENSG00000218351.3	RPS3AP23	0	0	0	0	0	0	0	0	0
ENSG00000218357.4	LINC01644	0	0	0	0	0	0	0	0	0
ENSG00000218358.4	RAET1K	2.288	0	0	0	0	2.673	0	0	0
ENSG00000218359.1	SUMO2P13	0	0	0	0	0	0	0	0	1
ENSG00000218363.1	SLC25A20P1	0	0	0	0	0	0	0	0	0
ENSG00000218410.1	ENSG00000218410	0	0	0	0	0	0	0	0	0
