gene_id,gene_name,16h_1,16h_2,16h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000156508,EEF1A1,1134745,1074740,1087597,168668,164746,157899,563061.358648512,2.883179847010243,0.07086960614616891,0,0,Up
ENSG00000156650,KAT6B,1293,1297,1174,8197,10093,8958,4554.10170840813,-2.7054461953987996,0.061730355861383195,0,0,Down
ENSG00000158019,BABAM2,529,470,458,6927,10014,7496,3685.829315423341,-3.9029078254988865,0.0967624035446517,0,0,Down
ENSG00000158467,AHCYL2,300,334,293,4020,4894,4362,2058.852065876077,-3.6859174319073618,0.08438050339157012,0,0,Down
ENSG00000160223,ICOSLG,3218,3243,2974,115,131,103,1541.334764305047,4.89242038976313,0.1147159690636534,0,0,Up
ENSG00000160255,ITGB2,12773,12666,12189,2378,3083,2691,6491.407638591962,2.3559320920487723,0.05366547178373366,0,0,Up
ENSG00000161016,RPL8,110007,107933,105887,3934,4214,3635,49008.67606523483,4.915924041405618,0.09990724075745074,0,0,Up
ENSG00000162244,RPL29,43457,43554,44219,6092,8110,6861,22821.35012546833,2.79058520778832,0.06827133533663672,0,0,Up
ENSG00000162599,NFIA,152,167,149,9243,11503,7759,4116.513708484182,-5.746865513141535,0.14224988271057273,0,0,Down
ENSG00000162849,KIF26B,856,792,779,23620,31488,21818,11240.450316717775,-4.8218220992602525,0.08057303517220916,0,0,Down
ENSG00000163399,ATP1A1,5862,5666,5427,55,92,66,2635.166316126076,6.446115881031013,0.12706904309787226,0,0,Up
ENSG00000163590,PPM1L,326,306,293,6428,8580,6153,3052.4921219477496,-4.350082109355806,0.09929546969819915,0,0,Down
ENSG00000163635,ATXN7,598,633,562,4642,5795,5020,2583.557535962257,-2.954858553088905,0.07102360882301646,0,0,Down
ENSG00000164494,PDSS2,644,632,662,10167,13083,12018,5314.5440526689645,-4.026687673785901,0.09872034690188147,0,0,Down
ENSG00000164587,RPS14,56193,58258,57051,3945,4881,3875,26766.610540879537,3.9055749588633377,0.06269224378041502,0,0,Up
ENSG00000164597,COG5,1290,1121,1055,9911,12808,10985,5294.438697099461,-3.129211088722853,0.07437366320566163,0,0,Down
ENSG00000164808,SPIDR,1201,1256,1154,18334,22728,18726,9087.402959933926,-3.8960650081092396,0.05074836386222997,0,0,Down
ENSG00000165476,REEP3,1746,1538,1507,12081,15413,12722,6700.839388773084,-2.9173992029252522,0.05047781455441749,0,0,Down
ENSG00000166024,R3HCC1L,699,680,639,5455,6602,5646,3052.9310884335123,-2.981330200012613,0.06673447463228815,0,0,Down
ENSG00000166508,MCM7,8472,8068,7925,902,1216,1028,4183.5931148122,3.1082283023313186,0.06394807955396996,0,0,Up
ENSG00000167081,PBX3,1552,1510,1422,37111,42160,38566,17784.779414680703,-4.568256433982085,0.053098605146174746,0,0,Down
ENSG00000167526,RPL13,82021,78918,78977,5166,5493,5479,38476.707356059895,4.028268532020718,0.09270663105395377,0,0,Up
ENSG00000167553,TUBA1C,6974,7032,6972,60,41,66,3585.57426078184,7.064321234214476,0.1747330527046626,0,0,Up
ENSG00000167632,TRAPPC9,995,1040,982,15298,20973,17743,8487.610575022803,-4.00290201764921,0.0771217043159333,0,0,Down
ENSG00000167996,FTH1,14013,14197,13920,371,440,381,9596.23433394933,5.277581132110968,0.11853229910783065,0,0,Up
ENSG00000168028,RPSA,59775,56701,55489,6275,6797,6150,30208.267596925234,3.3008227968814405,0.07926796893823683,0,0,Up
ENSG00000168038,ULK4,104,82,77,3624,4089,3407,1700.7303205220032,-5.237144996378247,0.13243172039969478,0,0,Down
ENSG00000169398,PTK2,1849,1652,1588,11923,14702,11062,6207.849510772477,-2.7344246883459165,0.06363466089225626,0,0,Down
ENSG00000169554,ZEB2,4765,4586,4392,66001,84028,72494,34781.0919719548,-3.865338046326804,0.04550520299667209,0,0,Down
ENSG00000170396,ZNF804A,251,232,211,34533,40280,32939,15196.815587209281,-7.114189310297696,0.10604956586869727,0,0,Down
ENSG00000170832,USP32,1771,1647,1620,6578,7965,6598,3838.786341475222,-1.91852325190191,0.04798964361193301,0,0,Down
ENSG00000171004,HS6ST2,1109,1042,1019,10827,14424,10407,5598.626296426701,-3.331391523734494,0.07042397398359228,0,0,Down
ENSG00000171132,PRKCE,316,287,275,11178,16095,11076,5722.968423729087,-5.278082163348345,0.0989687859355943,0,0,Down
