gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000111737.12,RAB35,1806,1439,1626,1602,1562.999,1574.999,1759.4302883615337,-0.15422999907174723,0.0719169532477702,0.028440582483979317,0.048706310475577004,NS
ENSG00000164631.19,ZNF12,1017,786.999,796.701,614.001,669.001,719,738.5328959136268,0.16744906544434196,0.0784178959655773,0.02848435028173022,0.04877372834087366,NS
ENSG00000214435.9,AS3MT,482,397,444,577,555,601,493.84828471294935,-0.43106622994624727,0.24061453434116942,0.028551634250001526,0.048881385873399796,Down
ENSG00000165527.8,ARF6,3961.001,3302,3460,3319.999,3357,3377,3521.1436408298346,-0.10388934761837446,0.04790557975887696,0.028571550057315313,0.04890792674315234,NS
ENSG00000285589.1,ENSG00000285589,307.901,307.984,335.579,309.99,345.521,374.125,330.85849909687386,-0.2692499938745941,0.13181703429736202,0.02861325701021328,0.048971755086823714,Down
ENSG00000186106.11,ANKRD46,691.306,580.543,590.112,631.727,647.958,576.774,649.1881942336822,-0.1856232146494115,0.0875750298480791,0.028675817507886864,0.04907124916961122,NS
ENSG00000107957.17,SH3PXD2A,2528.999,1920,1925,1960,2028,2338,2115.456811814788,-0.1828017623098005,0.08616178658568366,0.02868274090610742,0.04907551871568356,NS
ENSG00000159208.16,CIART,203,183.999,168.999,225.998,240,263,202.0261657014361,-0.4307771046686611,0.24072828476969568,0.0287040052608512,0.049104320206970205,Down
ENSG00000272980.5,ENSG00000272980,128.554,90.698,111.934,133.923,138.193,127.398,117.86830122735955,-0.37536346019828826,0.19801153795811102,0.028732060495699787,0.04914472826259377,Down
ENSG00000170632.14,ARMC10,1103.917,966.001,997.913,1010.964,1024.912,975.95,1085.5403572059438,-0.16331448681541058,0.07651433879729819,0.028745844553242018,0.049153132130694034,NS
ENSG00000265681.8,RPL17,20019.902,16985.188,17193.683,14584.217,15088.174,14493.494,16417.843987162058,0.09537187319009062,0.043958992096693295,0.028743840378849927,0.049153132130694034,NS
ENSG00000170776.22,AKAP13,1843.001,1348.001,1443,1052,1093.002,1252,1343.540809981856,0.22478684799133306,0.10779838807841073,0.0287795132658059,0.04920311107862712,NS
ENSG00000006625.18,GGCT,2218.901,1764.949,1855.986,1534.958,1498.982,1510.93,1753.5170946070052,0.15416387451264135,0.07204758413628232,0.02878573084906241,0.04920614981787901,NS
ENSG00000103024.8,NME3,33,24,18,34,32,49,35.974009200214596,-0.5076374581909519,0.3230998405227647,0.02886846193317491,0.04933995915228938,Down
ENSG00000163945.19,UVSSA,705,538,475.001,368,339,475,451.42462472213094,0.2923552874460918,0.14546206139402842,0.029020372158756847,0.04959194514469443,Up
ENSG00000107829.15,FBXW4,2025.974,1649.987,1757.936,1304.949,1204.999,1275.971,1352.0614421554376,0.2836981024152949,0.14046210103529877,0.02904877478660263,0.04963282796563835,Up
ENSG00000165813.20,CCDC186,612.999,471.001,484,344,380,390,417.4673902322879,0.26074442025084915,0.12751257450592954,0.0290955731530944,0.04970512435372162,NS
ENSG00000197283.18,SYNGAP1,1451,1087,1200.999,841,831.999,1061,1051.8398515329893,0.23010506715994636,0.11086094336174983,0.029106846940483197,0.04971671975869833,NS
ENSG00000196154.12,S100A4,166,162.001,160,231,209,207,279.386281179638,-0.4351969318183963,0.2456608870143241,0.029160262131310042,0.049800281235811046,Down
ENSG00000130511.16,SSBP4,1763.001,1636.999,1683.748,1760.951,1775.954,1745.944,1949.239809758764,-0.22833991503575113,0.11004989338838553,0.029276540029427412,0.049991158182760335,NS
ENSG00000130844.19,ZNF331,526,424,430.001,470,426,622.001,507.9871588695685,-0.29337131529303057,0.1463381197531939,0.029282887709560126,0.049994293883430185,Down
ENSG00000075711.21,DLG1,1561.001,1167,1194,1218.999,1237.001,1400.999,1313.8250120979794,-0.17170088925674037,0.08101301643855412,0.02941408549850369,0.05021055075391526,NS
ENSG00000067208.17,EVI5,159,126,143.999,161,171.001,159,149.84654345346547,-0.33172896095756244,0.17003910010222187,0.029514823553211764,0.05036699639924434,NS
ENSG00000183779.7,ZNF703,71,68.004,63,31,28,29.002,36.900068741991674,0.5424911951855035,0.38367267251154763,0.02951154949537676,0.05036699639924434,NS
ENSG00000115970.19,THADA,957.001,758.001,731.001,834.001,851,945,989.1120287455828,-0.2731391161901596,0.1349015677471052,0.029544661938808142,0.05041015298011883,NS
ENSG00000188372.15,ZP3,118.31,106.44,83.031,56.165,48.194,62.529,91.25827303144501,0.46411011288342147,0.2743294882310417,0.029583312730962538,0.050468330000696865,NS
ENSG00000169756.17,LIMS1,2115.905,1641.344,1679.094,1270.316,1396.082,1394.909,1647.995137682801,0.2035983707604184,0.09730315282389726,0.029593454557628476,0.050477861075517744,NS
ENSG00000071553.18,ATP6AP1,1999.001,1766,1760.001,1806,1799.001,1726,1873.3516840848874,-0.14089842483407813,0.06595485623878194,0.029610982196557084,0.05049998533429449,NS
ENSG00000151014.6,NOCT,228,173,202,231,229,225,236.36074596952656,-0.32595039711417906,0.16651943872768285,0.029619425691269602,0.0505066126343514,NS
ENSG00000151893.15,CACUL1,2293.001,1742.001,1737,1793,1856,1862,1886.0652595319032,-0.1340326100521072,0.06263707608320593,0.029630287274864227,0.050517360550776214,NS
ENSG00000184752.14,NDUFA12,1441.002,1262,1201,1306,1275,1222,1351.1957196704525,-0.1547975413653294,0.07276021374654097,0.029644630400154456,0.05053404000838512,NS
ENSG00000069943.10,PIGB,245.001,166,186.999,142,112,144.999,161.91821728951788,0.3201993812260332,0.16298478547438108,0.029667730136084196,0.05055786335046672,NS
ENSG00000113282.14,CLINT1,3023.001,2310.001,2517.999,2533.999,2632,2574,2796.25721970228,-0.17361312394221762,0.08210146808719557,0.029665722118545523,0.05055786335046672,NS
ENSG00000186417.15,GLDN,23,30,19,11,10,9,15.573470532037678,0.5523474622173904,0.40657577047052235,0.029755992994360873,0.05070047883817762,NS
ENSG00000100150.20,DEPDC5,485.001,432.001,409.999,425.999,439,483.999,473.6597866212172,-0.20609109764234648,0.09874722190978975,0.02982879311225299,0.05081029213760869,NS
ENSG00000184903.10,IMMP2L,170,156,181,109.001,113.999,105.999,139.51175033966248,0.353475189453119,0.1846847282921062,0.029829612041804923,0.05081029213760869,NS
ENSG00000115904.15,SOS1,1876.89,1330.788,1416,1409,1453.001,1699,1547.0925715346773,-0.17704216918287474,0.08393262814479192,0.02987199748981917,0.05087466976827663,NS
ENSG00000145020.16,AMT,119.154,47.628,81.448,30.379,6.764,53.009,40.480390236900014,0.5705743644506877,0.45742837092447974,0.02988982732991476,0.05089721365551865,NS
ENSG00000086598.11,TMED2,5027,4350,4110.999,4436,4501,4169.569,4689.628569057044,-0.1522372557522017,0.07165064132461017,0.029967963366856473,0.0510092538375221,NS
ENSG00000104497.15,SNX16,223,185.001,167.001,148,99,127,159.7299513729046,0.3453774394061913,0.17949217551648994,0.029969432569581875,0.0510092538375221,NS
ENSG00000198553.9,KCNRG,47.801,42.852,32.178,11.635,21.26,10.914,29.04702213791342,0.5734035829909591,0.46838737546518855,0.02996491064673179,0.0510092538375221,NS
ENSG00000151914.22,DST,1536,1113.999,1042.999,1158.999,1195.001,1510.999,1248.9058328551603,-0.2477102113601424,0.12107974502111217,0.02998904437122803,0.05102695988360956,NS
ENSG00000178449.9,COX14,407.941,350.217,345.298,362.905,381.302,378.707,384.245164044473,-0.20943005352993949,0.10059105704991539,0.029988836776099516,0.05102695988360956,NS
ENSG00000172785.19,ZNG1A,150.841,134.121,119.06,152.055,161.947,173.819,187.13403436146217,-0.3747189575904341,0.1997508284285654,0.03005607229099043,0.05113315829425175,NS
ENSG00000147099.21,HDAC8,423.131,369,381.859,291.999,241,278.109,334.79280508155756,0.2939789759151763,0.14756589782360513,0.03009976500332592,0.051199630969586775,NS
ENSG00000076258.10,FMO4,34,17,18,9,11,8,15.39795147640106,0.5510696146012188,0.4072067086725802,0.03014802777385766,0.05127385570747246,NS
ENSG00000214212.9,C19orf38,52,55,41,26,22,17,27.419501971136192,0.5382028099342601,0.3800902803700184,0.030164904456709763,0.05129468638779463,NS
ENSG00000092931.12,MFSD11,711,552.001,574.002,470,457,472,528.0066813022413,0.1805612716620043,0.08591801366787025,0.030255359202968016,0.05143971543864953,NS
ENSG00000133872.14,SARAF,6439,5342.001,5605.999,4519.999,4441.999,4346.001,4894.71027623658,0.1771669817225536,0.08420747557607075,0.03026382207578058,0.05143971543864953,NS
ENSG00000171953.16,ATPAF2,258.207,225,205,245,232.516,248.099,245.1013981864452,-0.2506074870084004,0.1229058292308279,0.030264117005955146,0.05143971543864953,NS
ENSG00000089234.16,BRAP,840,704,733,560,562,637,680.1940857994402,0.1665292749373054,0.07897002881299474,0.03046292635871541,0.051769690217341534,NS
ENSG00000125991.21,ERGIC3,4353.001,3749,3639.001,3150,3194,2998.001,3486.6358737091687,0.1271374689209523,0.05963627800175517,0.030495101683194886,0.05181642392719499,NS
ENSG00000141367.13,CLTC,7058.998,5508,5492,5348.001,5566.003,6556,6149.2972248358565,-0.14859150320770007,0.07010721107295395,0.030525382470372918,0.05185992465685615,NS
ENSG00000113838.13,TBCCD1,575.926,450,549.999,511,510,575,550.4461393412932,-0.20220360232527074,0.09718150763059417,0.03053628064781884,0.05187048775890993,NS
ENSG00000138030.14,KHK,103.001,101,116,54.001,41,48,93.38145372864632,0.5340071672924911,0.3750954782746674,0.03060133015360644,0.05197301774134354,NS
ENSG00000168899.5,VAMP5,555,559,552,439,398,382,462.1621205811215,0.23715820004248758,0.1158189187712698,0.030624494266763752,0.052004389436756955,NS
ENSG00000147604.14,RPL7,30857.088,25158.958,26996.55,22346.538,23056.674,21765.28,24886.794410288447,0.1039023585123275,0.048546313669641274,0.030674617736279025,0.05206557110636302,NS
ENSG00000164068.16,RNF123,1024.77,779,822.588,791.999,840,932.999,866.7576878724958,-0.160733119656079,0.07618151535758466,0.03067200166299054,0.05206557110636302,NS
ENSG00000204160.12,ZDHHC18,1229.999,940,1078,837,839,810.001,925.081576605059,0.17489919357609887,0.08327788386722965,0.03066584639181128,0.05206557110636302,NS
ENSG00000155287.12,SLC25A28,418.001,381,373,371,380,455,408.68444407574987,-0.2183510045477911,0.10577714117814403,0.03071132014421621,0.05211988512070506,NS
ENSG00000122034.17,GTF3A,3026.999,2616,2581,2944,2979.999,2922,3387.4316298051276,-0.26972734899692674,0.13405519186504722,0.030716057130036063,0.05211994259915169,NS
ENSG00000109794.14,FAM149A,95.718,85,97.702,44,33,36.6,49.40947809346784,0.5518210285785968,0.4145507421102634,0.030741313627064143,0.052154812862082796,NS
ENSG00000125971.18,DYNLRB1,2543.031,2077.704,2167.23,1775.4,1723.061,1742.508,1920.2081739716425,0.16538158701678526,0.0785471125798954,0.03076652479680204,0.052189595560716395,NS
ENSG00000145365.12,TIFA,2016,1703.999,1768,1273,1261,1205,1355.8159833445375,0.30573202923561743,0.1553874463313527,0.030789234029301425,0.052220124198457056,NS
ENSG00000163634.12,THOC7,1403.001,1203.001,1210.001,1230,1245.98,1186,1304.8575521667588,-0.13514514980003137,0.06365412432913324,0.03083845412457417,0.05229560039916312,NS
ENSG00000147231.14,RADX,614.001,457,501,380,389,420.999,439.92627863266785,0.18766162294070887,0.08988678037758652,0.03088287717872171,0.052362919965513156,NS
ENSG00000066923.19,STAG3,79.301,73.185,93.498,46.343,41.614,45.958,66.12702453464024,0.46244704620022575,0.27690721381165206,0.03100158461694419,0.052556151250569914,NS
ENSG00000119820.11,YIPF4,1454,1226,1098.999,960,932,943,1130.3394073286229,0.1994231008873134,0.0960485976253829,0.03103769955867131,0.05260932800691273,NS
ENSG00000008517.19,IL32,15566.996,14301.999,14474.001,8887.001,9030,8263.001,10237.751529325182,0.41905937303371704,0.23616149735443262,0.03110592311548312,0.052716904720260575,NS
ENSG00000160752.15,FDPS,10068.999,8971,8860,9094.004,8924.05,9033.999,9344.957086581895,-0.14599559882777827,0.06911288673358873,0.03118170127825729,0.05283724978068001,NS
