gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000173950.16,XXYLT1,852,1095,800,672,505,550,746.1677955464953,0.6607451093865342,0.0909583555713619,1.0005964503993189e-13,6.773738462629965e-13,Up
ENSG00000013306.16,SLC25A39,2570.001,3501,2446.999,2341.001,1992.999,2014.001,2381.7726310595517,0.419265524119524,0.05693440056000303,1.0077934179564552e-13,6.818294662877556e-13,Up
ENSG00000110619.18,CARS1,1445.999,2882,1318.002,4192,3600,3601.001,2453.643802457991,-1.0071204052891427,0.14230318943279385,1.0604240959158306e-13,7.169993795570002e-13,Down
ENSG00000114030.13,KPNA1,2338,2525.999,1964.999,1745,1309,1363.001,1828.866513313563,0.6338145464999798,0.08722921073794225,1.0783661898245365e-13,7.28686226563141e-13,Up
ENSG00000132294.15,EFR3A,1322.999,1724.001,1344,1109.001,849.001,749,1196.1967687535798,0.694698650008372,0.09598620373457754,1.0893028551405327e-13,7.356279244769887e-13,Up
ENSG00000163933.10,RFT1,868,1188.001,850.816,776.921,621.629,604.677,810.4942691892128,0.5314954693172842,0.07272386813563587,1.0937778582072173e-13,7.382001354843107e-13,Up
ENSG00000184436.12,THAP7,895,1069,826.001,640,528,545,726.23193434196,0.6946029409542123,0.0959880535929135,1.0988088396385146e-13,7.407673759961471e-13,Up
ENSG00000255639.3,ENSG00000255639,661.669,1001.714,665.648,563.908,408.215,432.137,605.4147245115834,0.7099984043721779,0.09821095549744388,1.0989185761935263e-13,7.407673759961471e-13,Up
ENSG00000167074.15,TEF,391,494,341,262,194,221,322.51756331688205,0.8308616240695953,0.11591338743326438,1.1263623652405944e-13,7.588053332277366e-13,Up
ENSG00000178951.9,ZBTB7A,1175,1517,1079,1046,852,862,1122.7133822673125,0.44893386013476927,0.06118456495230376,1.1312963845660674e-13,7.616662535699367e-13,Up
ENSG00000099290.17,WASHC2A,948.404,1186.484,807.166,740.207,638.091,620.752,827.5347715106445,0.5478979068920629,0.07508925879615154,1.1338249931440774e-13,7.629051957512243e-13,Up
ENSG00000135930.15,EIF4E2,1912.999,2201,1805.999,1492.999,1279.001,1231,1607.3564122114997,0.568447437327209,0.07800327082766674,1.1367043359298885e-13,7.643784860907174e-13,Up
ENSG00000141456.16,PELP1,3683.001,4421.999,3417,3242,2632.001,2766,3221.005273050118,0.4223536507929806,0.05748913971685955,1.1377441078611964e-13,7.646137176056869e-13,Up
ENSG00000100441.10,KHNYN,1578,2695,1523.001,3667.001,2838.001,2881,2302.5192351945,-0.6898870881705834,0.09537597332505444,1.1412072042248244e-13,7.664762568011821e-13,Down
ENSG00000126249.8,PDCD2L,454.816,513.29,432.741,280,242.156,224.001,358.0825039172655,0.8895273081434175,0.12466771054084849,1.142415057169794e-13,7.668227536981015e-13,Up
ENSG00000102034.18,ELF4,14,21,18,95,100,92,41.27197452881015,-2.2495116162368913,0.3278533498551707,1.1647774581501622e-13,7.813597936573909e-13,Down
ENSG00000165861.14,ZFYVE1,300,448,267,659.999,516,569,409.450542090834,-0.7607601281194764,0.10576836460236862,1.208595675224249e-13,8.102635978726634e-13,Down
ENSG00000179094.16,PER1,699.999,1009.001,584.999,1392,1113.999,1087.001,858.9307452209446,-0.6360202393030291,0.08773213838921214,1.209497398583615e-13,8.103778821707147e-13,Down
ENSG00000237441.10,RGL2,219.999,417,188,735.999,599,610,404.0402548996313,-1.2016890466885186,0.17333791135117052,1.2309388644186917e-13,8.242455888512351e-13,Down
ENSG00000108406.10,DHX40,1136,1479.761,1047.826,1911,1482.765,1589.424,1266.2360077906806,-0.43015395717197824,0.058695501205545196,1.274420166489633e-13,8.528456693863594e-13,Down
ENSG00000198301.12,SDAD1,1503.946,1558,1465,959.143,674.999,815,1168.5213075115187,0.8844420557795748,0.12422708157441595,1.305179570370568e-13,8.729028363818125e-13,Up
ENSG00000135916.16,ITM2C,1152.001,854.001,1055.001,2957,2579,2671.001,1404.0719911941092,-1.2905741160596118,0.1878474489056159,1.3210507597991627e-13,8.829845910792715e-13,Down
ENSG00000197774.14,EME2,498,527,359,239,195,188.001,353.4964307367282,1.1057229900548908,0.15832541590580257,1.3225357565562955e-13,8.834443191173518e-13,Up
ENSG00000048828.18,FAM120A,5265.234,5733.955,4944.208,4072.35,3161.695,3187.934,4280.253821302973,0.6248263711241158,0.08629334690675794,1.3390315956214456e-13,8.939245869082446e-13,Up
ENSG00000185158.13,LRRC37B,171.944,353.047,173.519,645.898,509.561,512.248,333.37579092057354,-1.21250167297502,0.1753948138654575,1.3488359417674548e-13,8.999277487457516e-13,Down
ENSG00000180628.15,PCGF5,776,1123.999,793,1545.999,1208.001,1213,1000.4226286082857,-0.5420907282671901,0.07455061400618966,1.3917806685694273e-13,9.280212616778817e-13,Down
ENSG00000171865.10,RNASEH1,2389.454,2029.422,2356.268,1141.312,996.308,922.516,1566.475050344118,1.1333405291938257,0.1630175735253575,1.4577810801450724e-13,9.714449747545216e-13,Up
ENSG00000166046.11,TCP11L2,15,37,10,163.999,128.999,111,57.99688974945965,-2.4996856054017735,0.3683203974141759,1.4739509220645937e-13,9.816300551874897e-13,Down
ENSG00000074935.14,TUBE1,528.999,1032.999,520,1535.999,1277,1265.002,893.8865564609841,-0.9561886497628658,0.13548028928287525,1.5206729936849424e-13,1.012138024985978e-12,Down
ENSG00000239789.6,MRPS17,665.851,681.721,636.223,347.246,293.3,349,485.3425045244752,0.9813437738485613,0.13937828669679145,1.5413635246418607e-13,1.0252935522257562e-12,Up
ENSG00000117360.13,PRPF3,1458,1757.999,1344,1167,1022,985.001,1268.284592111076,0.5216993436625269,0.07182277755626508,1.57103409742311e-13,1.0444031114362872e-12,Up
ENSG00000142459.9,EVI5L,300,516.001,294.001,745.001,634,612,450.6995405604306,-0.8257599632133689,0.11591705488522655,1.5829127767444199e-13,1.0516690282902673e-12,Down
ENSG00000156170.14,NDUFAF6,548.999,602,435,305,261,284.999,407.0006458692242,0.8700180995053718,0.12258672083212825,1.6230141672229101e-13,1.0776658478828215e-12,Up
ENSG00000169718.18,DUS1L,2210.999,2238,1993,1372.001,1208.999,1227,1625.8367464418718,0.7561890931721178,0.10570062206553707,1.6278638613542075e-13,1.080238761169301e-12,Up
ENSG00000118246.14,FASTKD2,1237.999,1116,1165.001,644,524,513,838.9202452290491,1.0540346527204916,0.15091924827599157,1.6725589367898913e-13,1.1092338801619135e-12,Up
ENSG00000168653.11,NDUFS5,2437,3904,2346,1988,1693,1697,2430.344849606832,0.6571721586920187,0.09135613210369709,1.7036974912004416e-13,1.1292090668351252e-12,Up
ENSG00000121060.19,TRIM25,2860,3767.999,2707,2781,2229.999,2182,2788.617181895498,0.3790706692945648,0.051911892399682934,1.7778351935816164e-13,1.177643133010847e-12,Up
ENSG00000139372.15,TDG,2188.956,2150.792,2126.977,1380.001,1094.961,1102.838,1606.5154941292587,0.8569927962770574,0.12088008351597997,1.8016518833888416e-13,1.1927064618706776e-12,Up
ENSG00000188735.13,TMEM120B,987,888,896.001,487,433,403,676.836213777272,1.0486268692319325,0.15030002661784508,1.8040254675462578e-13,1.1935647899312017e-12,Up
ENSG00000204922.5,UQCC3,709,760,684,437,383,335,537.0941865469995,0.885441990175866,0.12521851360008088,1.84301953353278e-13,1.2186361855972713e-12,Up
ENSG00000111530.13,CAND1,4841.001,6288,4524,4929.001,3918,3875,4580.4146810848515,0.3051585716353248,0.041689740641070616,1.8480728973983735e-13,1.2212488878335584e-12,Up
ENSG00000164609.10,SLU7,1043,1426,1020.001,1985.001,1494,1506.001,1267.9342096079592,-0.49588439914263693,0.06838510021583513,1.8636245891746848e-13,1.2307918770699558e-12,Down
ENSG00000174721.10,FGFBP3,320,267,330,117,94,97,203.24147985109,1.5271431336032237,0.22704424175061536,1.9467413721941506e-13,1.2849188735351743e-12,Up
