gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000078269.15,SYNJ2,101,438.001,135,330,303,345,274.38722534021224,-0.11543677046133353,0.13185100631983146,0.013011067093657121,0.09681852943815665,NS
ENSG00000087842.11,PIR,450,443,465,334,303,272,381.1335979214953,0.16281286951076016,0.10801544566934115,0.013016148325777327,0.09681852943815665,NS
ENSG00000093217.11,XYLB,578,743.999,481,583.999,627.999,640.18,546.3335123576486,-0.1570380765297398,0.07984525386897848,0.012979798874142646,0.09681852943815665,NS
ENSG00000101346.15,POFUT1,2316,2745.001,2175,1820.999,1867.999,1915.001,1893.767186961055,0.14049496463349673,0.06624783515763835,0.012763112743253117,0.09681852943815665,NS
ENSG00000106070.20,GRB10,1604,2416.998,1480.002,1782.999,1694.001,1891.002,2255.4066553288612,-0.1352569673929635,0.06305990939183231,0.012978467652936225,0.09681852943815665,NS
ENSG00000110492.17,MDK,96.001,126,89,54.999,73.001,72,200.38280610866693,0.1603653828189531,0.11063158167515666,0.013019682836845738,0.09681852943815665,NS
ENSG00000116489.13,CAPZA1,5027,5979.999,4703.999,4076,4276,3974,4571.743894802592,0.13157678730396344,0.06066742583066062,0.012862415582069303,0.09681852943815665,NS
ENSG00000117528.14,ABCD3,1776,1902,1642,1307.999,1344,1334,1447.0048774975078,0.15782540343967083,0.08051494712688365,0.012904024852368762,0.09681852943815665,NS
ENSG00000117620.15,SLC35A3,800.739,848.615,750.267,581.364,588.33,598.956,715.1621510035644,0.1621832510774085,0.0858003842442449,0.012930648602957354,0.09681852943815665,NS
ENSG00000121210.16,TMEM131L,1413,2520.999,1296,1728,1815,1976,1563.9613994596139,-0.16593144178991814,0.09317716843517086,0.012964726024789966,0.09681852943815665,NS
ENSG00000124535.16,WRNIP1,2138,3291,1964,2432.999,2456,2369,2312.2647057685217,-0.1408872186571622,0.06670732802431138,0.012934194385496896,0.09681852943815665,NS
ENSG00000148700.15,ADD3,1852,3211,1633.001,2347,2234.001,2352.998,2289.7673092498653,-0.16387218627884437,0.08835030603490877,0.012908738463018371,0.09681852943815665,NS
ENSG00000148842.18,CNNM2,223.999,420,206,304,303.999,349,341.86929439710315,-0.1642383864704924,0.10616972128554424,0.01296642785583445,0.09681852943815665,NS
ENSG00000151131.11,NOPCHAP1,1230,1086.999,1073.988,727,763,858,811.3562715644896,0.16584579817980363,0.10289321064865287,0.012973282198052185,0.09681852943815665,NS
ENSG00000166801.17,FAM111A,1986,2773,1771.001,2043.999,2115.999,2226.001,2309.7834069603123,-0.1344610650694064,0.062443518111808295,0.012863730355583455,0.09681852943815665,NS
ENSG00000172794.20,RAB37,162,442.002,134.001,280,339,325,637.0987815058245,-0.1376416395883427,0.1234426102003801,0.013029686832605714,0.09681852943815665,NS
ENSG00000177613.9,CSTF2T,1487,1277,1283,952,934,944,1186.0802485569943,0.16672051722503764,0.10101177464609207,0.012801363353774069,0.09681852943815665,NS
ENSG00000183048.12,SLC25A10,1287.826,2571.836,1225,1857,1887,1782,1499.7796406883244,-0.1662559689668737,0.10142875903069233,0.012988991998514408,0.09681852943815665,NS
ENSG00000185414.20,MRPL30,1317,1509.749,1320.829,1019.001,1066.52,1034,1231.0069237194323,0.15619340895751763,0.07871125423863043,0.012818884053104359,0.09681852943815665,NS
ENSG00000187994.14,RINL,335,256.001,271,198,175.999,171,283.1090578913248,0.1534052813491208,0.11584212000634365,0.012995457107915876,0.09681852943815665,NS
ENSG00000227500.11,SCAMP4,760,728.001,666.999,520,492.999,512.83,642.6170300661604,0.16701410969697228,0.09686432910766288,0.012784751028340587,0.09681852943815665,NS
ENSG00000237649.8,KIFC1,2232,4490.999,2147.999,3196,3215.999,3101.001,3264.7207854819894,-0.16687685359463447,0.09877106496070846,0.012869871674104178,0.09681852943815665,NS
ENSG00000247077.8,PGAM5,4307.997,4511,4180.999,3217.984,3294.001,3108.001,3212.5128457601722,0.16218045472521875,0.08558793616652005,0.012852192579436261,0.09681852943815665,NS
ENSG00000254726.3,MEX3A,175,545,169,424,379,391,306.744793208709,-0.12861981391427396,0.12703448023554287,0.012925592687193318,0.09681852943815665,NS
ENSG00000158882.15,TOMM40L,1029,1213.999,1054,818.001,846,785.001,845.9433303937619,0.15926788127107785,0.08247603986762378,0.013088125507275122,0.09717570206273209,NS
ENSG00000004399.13,PLXND1,221,563.999,213.999,391.001,372.999,454,528.7092591532862,-0.14811081136023635,0.11864781857631675,0.013118894809100511,0.09729172924029761,NS
ENSG00000012822.16,CALCOCO1,259.999,490.001,213.999,339.001,343.001,423.999,442.7636888890914,-0.16092483542321084,0.10988752261068352,0.013124519291327233,0.09729172924029761,NS
ENSG00000084207.18,GSTP1,6927.999,7707.001,6954,5471,5413.001,5236,5876.678968987833,0.15893677332992026,0.08233687458874474,0.013202492165818343,0.09737313914588576,NS
ENSG00000105281.12,SLC1A5,4472.999,9299,4257,6479,6409,6578.999,7624.212776128778,-0.16600513667344077,0.10095589613556336,0.013173172117698317,0.09737313914588576,NS
ENSG00000123933.17,MXD4,896,1439,763,1019,1075.001,1085.999,1070.0009465009252,-0.16057329926796515,0.08433528535611069,0.013208245448710864,0.09737313914588576,NS
ENSG00000140332.18,TLE3,939,1608,883.998,1120,1128.001,1307.999,1289.90156302513,-0.16263974013948923,0.0871046020442271,0.013156316324615716,0.09737313914588576,NS
ENSG00000157350.13,ST3GAL2,793,1439,713,1089,1080.001,1001,1006.3673809904968,-0.16626823712172786,0.09851241442448344,0.013187945481198672,0.09737313914588576,NS
