gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000031987.7,Egln1,4150,5551,3362,3886,3679,3515,4274.236786595443,0.5113702151198551,0.2178494171122494,7.305948790293221e-4,0.015881270356319033,Up
ENSMUSG00000032589.15,Bsn,64,43,33,165,121,103,84.17328705069612,-0.5870215734301182,0.27827189325416624,7.326143006389582e-4,0.015881270356319033,Down
ENSMUSG00000051396.16,Msantd7,49.291,36.048,44.104,120.708,112.895,91.481,81.93955841055252,-0.5408849824298613,0.23928340373266221,7.304043415332219e-4,0.015881270356319033,Down
ENSMUSG00000059713.13,Rcan3,659,542,381,1327,1122,989.999,870.0809130106239,-0.4509447289603694,0.1783171377248792,7.33428526408013e-4,0.015881270356319033,Down
ENSMUSG00000072772.4,Grcc10,1951,2164,2315,1996,2102,1844,2249.685310828961,0.45980015279257036,0.1838338446276804,7.331201529920348e-4,0.015881270356319033,Up
ENSMUSG00000020955.10,Ap4s1,1354,1888,1812,1518,1465,1447,1740.8014107428244,0.4965392858684321,0.20801414324923106,7.383624552248379e-4,0.015952639308172416,Up
ENSMUSG00000029131.15,Dnajb6,5399.713,4977.827,4295.991,6063.987,5488.171,5813.651,5464.91075765161,0.2387401519313074,0.07538493826813007,7.402285569746678e-4,0.015967450132507784,NS
ENSMUSG00000035578.17,Iqcg,144,263,168,140,151,123,190.87147936798104,0.5927849958958035,0.2848005008983533,7.419978525575737e-4,0.015980128910575132,Up
ENSMUSG00000053641.10,Dennd4a,1204.998,803,599,1900.001,2238.002,2629,1414.540648681174,-0.5673265965702555,0.26138325427961134,7.437292377043647e-4,0.01599195220977986,Down
ENSMUSG00000002846.10,Timmdc1,643,762,600,743,657,574,705.4827662053845,0.41087812698848936,0.15515727031598342,7.596013590346819e-4,0.016307314890387416,Up
ENSMUSG00000041577.6,Prelp,1867,2199,2437,2401,1478,1677,2254.332120552485,0.5191131350125066,0.224839903479072,7.60818873320394e-4,0.016307567768079758,Up
ENSMUSG00000051671.8,Coa6,462,762,627,569,524,498,652.114630447603,0.5082261129732889,0.21718587626536284,7.627761117267498e-4,0.016323650175797927,Up
ENSMUSG00000042198.13,Chchd7,406.999,480.998,471,326,427,398.999,462.4714895362438,0.5103174751341878,0.2189981161538733,7.699458207503713e-4,0.016451054068955407,Up
ENSMUSG00000043822.19,Adamtsl5,600,907,848,736,739,449,788.362363006517,0.5403438775712992,0.24151439237980565,7.757803022169139e-4,0.01654957190454852,Up
ENSMUSG00000041261.10,Car8,96,73,91,77,45,34,71.71051958789421,0.6314648072081624,0.3499520456629523,7.828151490359779e-4,0.016654158742851543,Up
ENSMUSG00000060671.13,Atp8b2,899,938.999,936,1825.001,1721,1661.999,1393.3873211032603,-0.32643811555391367,0.11171162263432231,7.83145653268287e-4,0.016654158742851543,Down
ENSMUSG00000014592.23,Camta1,675,699.001,604,600.001,569,501,646.8641542619121,0.5146761494919287,0.22311397759364301,7.909183773241269e-4,0.016752689857261773,Up
ENSMUSG00000020519.6,Sap30l,600,650,790,490,554,554,735.6930788752204,0.5556624988160526,0.2546812751415752,7.898170196763614e-4,0.016752689857261773,Up
ENSMUSG00000024962.14,Vegfb,984,1299,776,866,802,584,994.6299000847575,0.5810355681836878,0.2777056772446336,7.93857301639569e-4,0.016752689857261773,Up
ENSMUSG00000045038.15,Prkce,709,401,411,442,423,423,461.9093214995112,0.5073287375064185,0.21799634254141687,7.939722143071938e-4,0.016752689857261773,Up
ENSMUSG00000063200.5,Nol7,2200.999,2478.999,2434,2354.001,2418,2336,2629.913054415327,0.39715499502707347,0.14815700891496045,7.916092342734973e-4,0.016752689857261773,Up
ENSMUSG00000021460.18,Auh,1341.999,1609,992.999,1293,1165,1103.001,1277.656568429832,0.46839897783320583,0.1916518515633135,7.968651099051821e-4,0.016787539893251695,Up
ENSMUSG00000018574.15,Acadvl,11012,6478,2889,5139.999,4369.001,3292.999,4983.544212850883,0.6199631008329914,0.32664356573149195,7.989648021944432e-4,0.016805597122363677,Up
ENSMUSG00000028427.14,Aqp7,2029,309,547,509,384,412,640.8711999425853,0.6181881851014428,0.4047536938572336,8.070233427775541e-4,0.01694874334016525,Up
ENSMUSG00000024011.18,Pi16,1255.999,2424,3069,2126,1214.999,1102,2032.7443900894339,0.6195617993607566,0.3278205810586482,8.095104474558046e-4,0.016963743523014448,Up
ENSMUSG00000028909.18,Ptpru,37,71,57,40,25,26,47.885865642116414,0.6309127081297312,0.37085583017623525,8.106753211133193e-4,0.016963743523014448,Up
ENSMUSG00000036606.18,Plxnb2,3412.001,2534.001,2123,7212,5697,5492,4243.820199469942,-0.4802731003332201,0.20006160151371763,8.115003371083436e-4,0.016963743523014448,Down
ENSMUSG00000000168.11,Dlat,7472,5362,3446,4605,4438,4258,4812.978164544586,0.5241890089684548,0.231216764848723,8.133440603321485e-4,0.016976046938259735,Up
ENSMUSG00000010064.16,Slc38a3,252,440,398.001,169.999,217,74,266.27330417759237,0.6002720471311022,0.41907832062228256,8.201647834169929e-4,0.016990152960876786,Up
ENSMUSG00000026473.17,Glul,23272.733,17911.849,9910.954,8167.94,8987.79,15338.561,13672.310078409388,0.6128664398251474,0.31815845676305127,8.195873587059917e-4,0.016990152960876786,Up
ENSMUSG00000027536.7,Chmp4c,319,259,110,182,128,62,165.74727849024677,0.6299932755375783,0.37248628199044903,8.17894349911024e-4,0.016990152960876786,Up
ENSMUSG00000031748.17,Gnao1,325,167,175,212,155.006,140.999,182.90381980874025,0.5653709006726648,0.26519526082830114,8.215571191433212e-4,0.016990152960876786,Up
ENSMUSG00000048755.10,Mcat,432,452,337,403.001,455,304,415.25347957186966,0.4309766720321283,0.16878051019663004,8.206976411159713e-4,0.016990152960876786,Up
ENSMUSG00000052713.10,Zfp608,436,399,355,955.999,662,923,580.4380614242522,-0.43249839619462016,0.16972724792821023,8.212444952871141e-4,0.016990152960876786,Down
ENSMUSG00000033576.13,Apol6,1009.001,268,293.001,209.001,257,195,365.86722628748237,0.6059102779770797,0.4145923693126478,8.232785188589391e-4,0.016999758729110154,Up
ENSMUSG00000002831.16,Plin4,5031,3574,1800,1620,1779,2101,2687.0903558062005,0.6288368609461427,0.37137200057559655,8.288267268571682e-4,0.01708823396454756,Up
ENSMUSG00000044224.17,Dnajc21,1503,2257,1732,1661,1588,1739,1848.7107169691194,0.46553005811680037,0.19104881147806704,8.32772043815285e-4,0.01714344275890674,Up
ENSMUSG00000025212.18,Sfxn3,1161,1228,1158.001,2402.001,2069,2212.001,1701.3281380245342,-0.3291254669833152,0.11380949043740948,8.374095143578736e-4,0.017179900853700858,Down
ENSMUSG00000028737.16,Aldh4a1,1035.001,575.999,465,561.999,576.923,517.902,605.5266380955053,0.5355250010835217,0.2412260750284173,8.381954867958314e-4,0.017179900853700858,Up
ENSMUSG00000092009.2,Myh15,25,12,10,59,54,57,31.58451078911257,-0.6278540700963741,0.36495357788982224,8.383537570012988e-4,0.017179900853700858,Down
ENSMUSG00000085945.4,2310014F06Rik,82,121,93,88,81,67,97.07191931183362,0.5452955291625151,0.24919093717526183,8.401295885349031e-4,0.01719024611941689,Up
ENSMUSG00000038384.17,Setd1b,448,381,335,1013,659.999,690,558.3978412110775,-0.3883463845647976,0.14445377430243436,8.45187746762713e-4,0.017267619750703466,Down
ENSMUSG00000024542.10,Cep192,478.999,320.001,305,940,827,725.001,528.7238149320622,-0.4723702345241493,0.19619712691321137,8.501782785920254e-4,0.017317260870417385,Down
ENSMUSG00000036273.16,Lrrk2,466.001,489.999,408.001,1013.999,776,893,644.9648543042008,-0.3663905851770645,0.13262615420080515,8.496970083032831e-4,0.017317260870417385,Down
ENSMUSG00000018446.9,C1qbp,2057,2282,1906,2139.001,2194,2087,2362.884868185046,0.3700159177302982,0.1346469685560601,8.547797869096505e-4,0.01738480694429026,Up
ENSMUSG00000032350.10,Gclc,577,455,413,1008,1011,1059,766.8200092105182,-0.4352570411041353,0.17243986850123125,8.561734680887017e-4,0.017387006240089625,Down
ENSMUSG00000021420.14,Fars2,663.999,592,477,721,569.001,564.999,593.2784883851372,0.33812454931230407,0.11869916997995429,8.742005842316648e-4,0.017707674757435985,Up
ENSMUSG00000026203.17,Dnajb2,865,1491,1173.001,1193,1018.001,910.001,1168.7495940410004,0.48792469113357917,0.20773358283464002,8.745823835835297e-4,0.017707674757435985,Up
